comparison,metric,difference,ci_lower,ci_upper,raw_p,holm_p
DeBERTa ensemble - BM25,roc_auc,0.42875559869618396,0.4057304602637619,0.4529398274719258,0.0009995002498750624,0.009995002498750623
DeBERTa ensemble - BM25,pairwise_accuracy,0.46176996424314654,0.4318198748510131,0.4930289034564958,0.0009995002498750624,0.009995002498750623
DeBERTa ensemble - Direction-selected BM25,roc_auc,0.09043045479019751,0.07843563501128883,0.10297888090773803,0.0009995002498750624,0.009995002498750623
DeBERTa ensemble - Direction-selected BM25,pairwise_accuracy,0.05735995232419544,0.04001564362336115,0.0761330452920143,0.0009995002498750624,0.009995002498750623
DeBERTa ensemble - Length LR,roc_auc,0.17920247115352717,0.16007511842965408,0.19813554846417505,0.0009995002498750624,0.009995002498750623
DeBERTa ensemble - Length LR,pairwise_accuracy,0.1900278108859753,0.1664841577274533,0.2127935041716329,0.0009995002498750624,0.009995002498750623
DeBERTa ensemble - Lexical LR,roc_auc,0.05978458383524887,0.047507837933994546,0.07286529497804282,0.0009995002498750624,0.009995002498750623
DeBERTa ensemble - Lexical LR,pairwise_accuracy,0.05825387365911794,0.03969010727056019,0.07708656138259833,0.0009995002498750624,0.009995002498750623
DeBERTa ensemble - Combined LR,roc_auc,0.05948749215812055,0.04697543197855496,0.07278567359147699,0.0009995002498750624,0.009995002498750623
DeBERTa ensemble - Combined LR,pairwise_accuracy,0.051400476758045266,0.03292386769964244,0.06984579856972586,0.0009995002498750624,0.009995002498750623
