condition,model,rows,queries,roc_auc,pairwise_accuracy
hard_u,BM25,4948,1642,0.3250548222587213,0.2900121802679659
hard_u,Direction-selected BM25,4948,1642,0.6749451777412787,0.7099878197320341
hard_u,Length LR,4948,1642,0.5868433579222954,0.5780653674380837
hard_u,Lexical LR,4948,1642,0.7075464607589788,0.7099878197320341
hard_u,Combined LR,4948,1642,0.7077328859129637,0.7166869671132765
random_u,BM25,4948,1642,0.7476111053390544,0.7742387332521316
random_u,Direction-selected BM25,4948,1642,0.25238889466094566,0.22576126674786845
random_u,Length LR,4948,1642,0.4741800240657927,0.47369062119366623
random_u,Lexical LR,4948,1642,0.2812020811826281,0.26540803897685744
random_u,Combined LR,4948,1642,0.26308034039906775,0.2501827040194884
