split,scope,feature,queries,retention_rate,mean_signed_z_difference,mean_absolute_z_difference,median_absolute_z_difference,maximum_absolute_z_difference
validation,all_nearest,log1p_bm25,1656,1.0,-0.4166376010087116,0.6504551158872665,0.5164731154127575,3.9107368511772895
validation,all_nearest,token_jaccard,1656,1.0,-0.337321753255593,0.753987872248086,0.6069003115628829,4.132299606825794
validation,all_nearest,claim_coverage,1656,1.0,-0.4177156300629682,0.7554543532662719,0.6080400028530163,4.0409325189606715
validation,all_nearest,log1p_passage_length,1656,1.0,-0.21745714930939805,0.8253001590117808,0.6589510928299462,3.9709269544458423
validation,all_nearest,log1p_passage_claim_ratio,1656,1.0,-0.1576295214252937,0.6227768168394432,0.48857107299900315,4.045134963119091
validation,q25,log1p_bm25,414,0.25,-0.06525356532077971,0.29556693511025206,0.2510220713411636,0.743302524238618
validation,q25,token_jaccard,414,0.25,-0.05666262912457196,0.3385403394063494,0.3331197458399813,0.7501261798328306
validation,q25,claim_coverage,414,0.25,-0.030105863634862264,0.29554672401165755,0.2938860013789579,0.7503472375632969
validation,q25,log1p_passage_length,414,0.25,-0.01617908867306787,0.35613942606570187,0.3463341403714395,0.7503648317622986
validation,q25,log1p_passage_claim_ratio,414,0.25,-0.009632804432137149,0.26194496053419025,0.2391253729977681,0.7260610985342116
validation,q50_primary,log1p_bm25,828,0.5,-0.16627645735552107,0.4072239124733814,0.3492178299496341,1.1565480298826107
validation,q50_primary,token_jaccard,828,0.5,-0.11744411932863524,0.4628139980368082,0.41392938660501855,1.1592973714929273
validation,q50_primary,claim_coverage,828,0.5,-0.12493059878754778,0.40495282917355957,0.3833295670160321,1.1562727923106542
validation,q50_primary,log1p_passage_length,828,0.5,-0.073515543432277,0.4888716156668233,0.45993988517143636,1.1608768505334444
validation,q50_primary,log1p_passage_claim_ratio,828,0.5,-0.05388465222901077,0.3657739772399227,0.33573628047385634,1.1262595926971652
validation,q75,log1p_bm25,1242,0.75,-0.24631907416149865,0.4934711400425396,0.4197321583374194,1.637422145387837
validation,q75,token_jaccard,1242,0.75,-0.2050962252078687,0.5976835197479283,0.5216604041507527,1.6272777306452941
validation,q75,claim_coverage,1242,0.75,-0.22939938297101492,0.5469108804612174,0.4898100022982631,1.6030145529761346
validation,q75,log1p_passage_length,1242,0.75,-0.10162764024798238,0.6422129907710469,0.5803131901524671,1.632606485789296
validation,q75,log1p_passage_claim_ratio,1242,0.75,-0.07209503265024905,0.4809762760372924,0.4150534730428168,1.4997438437834625
test,all_nearest,log1p_bm25,1678,1.0,-0.4180291433659836,0.6827084364221317,0.5291290417531279,3.4626410093069753
test,all_nearest,token_jaccard,1678,1.0,-0.37517727925941796,0.7685472826875993,0.6287589256948927,4.9043126117836415
test,all_nearest,claim_coverage,1678,1.0,-0.423028549713904,0.7782805128838088,0.6080400028530163,4.2450200199182815
test,all_nearest,log1p_passage_length,1678,1.0,-0.10677102507650796,0.8197349628003334,0.6704514535494848,3.447068274030816
test,all_nearest,log1p_passage_claim_ratio,1678,1.0,-0.07471812002145908,0.6240113926408498,0.48273131193626395,3.102762644790522
test,q25,log1p_bm25,410,0.24433849821215733,-0.04559943122322819,0.3010682333944861,0.26609566717299904,0.7450507044953572
test,q25,token_jaccard,410,0.24433849821215733,-0.051795468416156135,0.3332276180204942,0.3009236215444885,0.7467681769616779
test,q25,claim_coverage,410,0.24433849821215733,-0.0484586646018719,0.27989283084385724,0.27551812629277306,0.7347150034473952
test,q25,log1p_passage_length,410,0.24433849821215733,-0.027681831104037134,0.3327921292639984,0.30869663608664455,0.7469716716280415
test,q25,log1p_passage_claim_ratio,410,0.24433849821215733,-0.02078565846399826,0.24644896760908927,0.22561901567419165,0.734799376111084
test,q50_primary,log1p_bm25,870,0.5184743742550656,-0.13421863630669195,0.4179496083087998,0.36719745635881085,1.1592148952904557
test,q50_primary,token_jaccard,870,0.5184743742550656,-0.11977594158587167,0.4717335714380537,0.44150065533141786,1.1582059694792615
test,q50_primary,claim_coverage,870,0.5184743742550656,-0.11369503238303366,0.4259860188962432,0.4007536382440334,1.1562727923106544
test,q50_primary,log1p_passage_length,870,0.5184743742550656,-0.04037123889651145,0.49165991824767663,0.4686791215907346,1.153186632311861
test,q50_primary,log1p_passage_claim_ratio,870,0.5184743742550656,-0.029400792473615874,0.3681715991981745,0.3281165283275889,1.1425089665283745
test,q75,log1p_bm25,1239,0.7383790226460072,-0.20746898385882948,0.505463549094129,0.42824424338581,1.6187517717292872
test,q75,token_jaccard,1239,0.7383790226460072,-0.182691774919216,0.5820774174816868,0.5171695844717931,1.6277601672483195
test,q75,claim_coverage,1239,0.7383790226460072,-0.1771476165759955,0.5426830979595964,0.489810002298263,1.6327000076608773
test,q75,log1p_passage_length,1239,0.7383790226460072,-0.043553685822410974,0.6234852905326409,0.5713931855721552,1.6243893838375483
test,q75,log1p_passage_claim_ratio,1239,0.7383790226460072,-0.029461475825789413,0.47536051365022197,0.4151080771681794,1.6188705732638342
