split,scope,model,queries,rows,retention_rate,roc_auc,pairwise_accuracy
validation,all_nearest,BM25,1656,3312,1.0,0.3466954815164881,0.302536231884058
validation,all_nearest,Direction-selected BM25,1656,3312,1.0,0.6533045184835118,0.697463768115942
validation,all_nearest,Length LR,1656,3312,1.0,0.566033301535625,0.5809178743961353
validation,all_nearest,Lexical LR,1656,3312,1.0,0.6662119448528553,0.7028985507246377
validation,all_nearest,Combined LR,1656,3312,1.0,0.6721266103059582,0.697463768115942
validation,all_nearest,DeBERTa ensemble,1656,3312,1.0,0.715285800135359,0.714975845410628
validation,q25,BM25,414,828,0.25,0.46481248103806383,0.4251207729468599
validation,q25,Direction-selected BM25,414,828,0.25,0.5351875189619362,0.5748792270531401
validation,q25,Length LR,414,828,0.25,0.5037778011155453,0.5181159420289855
validation,q25,Lexical LR,414,828,0.25,0.5275735723120727,0.5579710144927537
validation,q25,Combined LR,414,828,0.25,0.5321594436276226,0.5434782608695652
validation,q25,DeBERTa ensemble,414,828,0.25,0.6489357978015824,0.6570048309178744
validation,q50_primary,BM25,828,1656,0.5,0.4209841536558613,0.3695652173913043
validation,q50_primary,Direction-selected BM25,828,1656,0.5,0.5790158463441387,0.6304347826086957
validation,q50_primary,Length LR,828,1656,0.5,0.5221212863777451,0.5507246376811594
validation,q50_primary,Lexical LR,828,1656,0.5,0.5691818945599664,0.6256038647342995
validation,q50_primary,Combined LR,828,1656,0.5,0.5761438423300427,0.6171497584541062
validation,q50_primary,DeBERTa ensemble,828,1656,0.5,0.6530972134705594,0.6582125603864735
validation,q75,BM25,1242,2484,0.75,0.3891909833238686,0.34782608695652173
validation,q75,Direction-selected BM25,1242,2484,0.75,0.6108090166761314,0.6521739130434783
validation,q75,Length LR,1242,2484,0.75,0.5354072829393139,0.5599838969404187
validation,q75,Lexical LR,1242,2484,0.75,0.6126715001776264,0.6610305958132046
validation,q75,Combined LR,1242,2484,0.75,0.6185117764967937,0.6513687600644122
validation,q75,DeBERTa ensemble,1242,2484,0.75,0.6820319934861698,0.6851851851851852
test,all_nearest,BM25,1678,3356,1.0,0.361960717182752,0.3176400476758045
test,all_nearest,Direction-selected BM25,1678,3356,1.0,0.638039282817248,0.6823599523241954
test,all_nearest,Length LR,1678,3356,1.0,0.5457846121936979,0.5324791418355185
test,all_nearest,Lexical LR,1678,3356,1.0,0.6653583995931363,0.6811680572109654
test,all_nearest,Combined LR,1678,3356,1.0,0.6679432066950695,0.6907032181168057
test,all_nearest,DeBERTa ensemble,1678,3356,1.0,0.7372063058212499,0.7502979737783075
test,q25,BM25,410,820,0.24433849821215733,0.4805175490779298,0.44878048780487806
test,q25,Direction-selected BM25,410,820,0.24433849821215733,0.5194824509220701,0.551219512195122
test,q25,Length LR,410,820,0.24433849821215733,0.5145032718619869,0.5036585365853659
test,q25,Lexical LR,410,820,0.24433849821215733,0.5269839381320642,0.5390243902439025
test,q25,Combined LR,410,820,0.24433849821215733,0.5218679357525282,0.5390243902439025
test,q25,DeBERTa ensemble,410,820,0.24433849821215733,0.6448602022605592,0.6658536585365854
test,q50_primary,BM25,870,1740,0.5184743742550656,0.44169507200422775,0.3954022988505747
test,q50_primary,Direction-selected BM25,870,1740,0.5184743742550656,0.5583049279957721,0.6045977011494252
test,q50_primary,Length LR,870,1740,0.5184743742550656,0.5182276390540362,0.5137931034482759
test,q50_primary,Lexical LR,870,1740,0.5184743742550656,0.5637098692033294,0.5885057471264368
test,q50_primary,Combined LR,870,1740,0.5184743742550656,0.5655991544457656,0.6011494252873564
test,q50_primary,DeBERTa ensemble,870,1740,0.5184743742550656,0.6744999339410754,0.6954022988505747
test,q75,BM25,1239,2478,0.7383790226460072,0.4176283172466535,0.3744955609362389
test,q75,Direction-selected BM25,1239,2478,0.7383790226460072,0.5823716827533465,0.6255044390637611
test,q75,Length LR,1239,2478,0.7383790226460072,0.5227669349842781,0.5141242937853108
test,q75,Lexical LR,1239,2478,0.7383790226460072,0.5937199738652523,0.6174334140435835
test,q75,Combined LR,1239,2478,0.7383790226460072,0.5969588065045035,0.6287328490718321
test,q75,DeBERTa ensemble,1239,2478,0.7383790226460072,0.6936072140241714,0.7078288942695722
