comparison,metric,difference,ci_lower,ci_upper,raw_p,queries,holm_p
DeBERTa ensemble - BM25,roc_auc,0.23280486193684768,0.20216646848989303,0.26452843836702333,0.0009995002498750624,870,0.009995002498750623
DeBERTa ensemble - BM25,pairwise_accuracy,0.3,0.2471264367816092,0.34830459770114924,0.0009995002498750624,870,0.009995002498750623
DeBERTa ensemble - Direction-selected BM25,roc_auc,0.1161950059453033,0.09441247192495708,0.1396759149161052,0.0009995002498750624,870,0.009995002498750623
DeBERTa ensemble - Direction-selected BM25,pairwise_accuracy,0.09080459770114946,0.05399425287356322,0.13106321839080445,0.0009995002498750624,870,0.009995002498750623
DeBERTa ensemble - Length LR,roc_auc,0.1562722948870392,0.12946013343902765,0.18502985863390134,0.0009995002498750624,870,0.009995002498750623
DeBERTa ensemble - Length LR,pairwise_accuracy,0.1816091954022988,0.13905172413793102,0.22528735632183908,0.0009995002498750624,870,0.009995002498750623
DeBERTa ensemble - Lexical LR,roc_auc,0.110790064737746,0.08810576033822169,0.13408201215484203,0.0009995002498750624,870,0.009995002498750623
DeBERTa ensemble - Lexical LR,pairwise_accuracy,0.10689655172413792,0.06666666666666667,0.1471264367816092,0.0009995002498750624,870,0.009995002498750623
DeBERTa ensemble - Combined LR,roc_auc,0.10890077949530985,0.08638898797727587,0.1318565530453165,0.0009995002498750624,870,0.009995002498750623
DeBERTa ensemble - Combined LR,pairwise_accuracy,0.09425287356321832,0.05514367816091954,0.13333333333333333,0.0009995002498750624,870,0.009995002498750623
