model,metric,estimate,ci_lower,ci_upper,queries
BM25,roc_auc,0.44169507200422775,0.4252008521601269,0.4594071211520676,870
BM25,pairwise_accuracy,0.3954022988505747,0.364367816091954,0.42873563218390803,870
Direction-selected BM25,roc_auc,0.5583049279957721,0.5405928788479324,0.5747991478398732,870
Direction-selected BM25,pairwise_accuracy,0.6045977011494252,0.5712643678160919,0.635632183908046,870
Length LR,roc_auc,0.5182276390540362,0.5013188333993923,0.5345945303210463,870
Length LR,pairwise_accuracy,0.5137931034482759,0.4804597701149425,0.5454022988505747,870
Lexical LR,roc_auc,0.5637098692033294,0.5462555159202008,0.5797593803672876,870
Lexical LR,pairwise_accuracy,0.5885057471264368,0.5551724137931034,0.6206896551724138,870
Combined LR,roc_auc,0.5655991544457656,0.5473944048090897,0.5828684106222751,870
Combined LR,pairwise_accuracy,0.6011494252873564,0.5678160919540229,0.632183908045977,870
DeBERTa ensemble,roc_auc,0.6744999339410754,0.6531068172810146,0.6971077751354208,870
DeBERTa ensemble,pairwise_accuracy,0.6954022988505747,0.664367816091954,0.725287356321839,870
