model,method,metric,estimate,ci_lower,ci_upper
Qwen3-8B,direct,accuracy,0.3357787810383747,0.3264573215035724,0.3448314737783307
Qwen3-8B,direct,macro_f1,0.24954401507782129,0.2413131221671411,0.2580463631524955
Qwen3-8B,direct,f1_A,0.4556444747147965,0.4450494149425492,0.46537029867232793
Qwen3-8B,direct,f1_X,0.2894393741851369,0.26897275167365564,0.3096583299746151
Qwen3-8B,direct,f1_U,0.0035481963335304554,0.0,0.008211143695014663
Qwen3-8B,direct,cited_vs_u_roc_auc,0.5309076127304095,0.5156355056103635,0.5467502657659132
Qwen3-8B,direct,cited_vs_u_average_precision,0.7112280733013766,0.6998234479860348,0.7239528640567143
Qwen3-8B,direct,x_vs_a_roc_auc,0.48862380740532985,0.4724388003902773,0.5047383366746583
Qwen3-8B,direct,x_vs_a_average_precision,0.49510411705174573,0.4826824120435733,0.510459821631375
Qwen3-8B,direct,pairwise_cited_over_U,0.5352999602701629,0.5170138027691464,0.5555972018910309
Qwen3-8B,direct,pairwise_X_over_A,0.4884310471976401,0.46542565449852513,0.5118028668879057
Qwen3-8B,direct,mrr_cited,0.847735399284863,0.8373052628915825,0.8588061446365296
Qwen3-8B,direct,ndcg,0.8212169312882218,0.8147897100558358,0.8276920265139326
Qwen3-8B,hierarchical,accuracy,0.34744168547780285,0.33739190348355125,0.35704975438031705
Qwen3-8B,hierarchical,macro_f1,0.29055256411689373,0.2799214371308025,0.30083249076817875
Qwen3-8B,hierarchical,f1_A,0.09304467987102717,0.07663206856453768,0.11007526346882511
Qwen3-8B,hierarchical,f1_X,0.3031483284647842,0.28308326824088553,0.3218845462974878
Qwen3-8B,hierarchical,f1_U,0.4754646840148699,0.46534915918699765,0.4867769425925637
Qwen3-8B,hierarchical,cited_vs_u_roc_auc,0.5767375851903592,0.5617535666408916,0.5934371468722841
Qwen3-8B,hierarchical,cited_vs_u_average_precision,0.7339068894571592,0.7215897062435932,0.7473405440727741
Qwen3-8B,hierarchical,x_vs_a_roc_auc,0.49619101099145535,0.47998039709793444,0.5123520152827056
Qwen3-8B,hierarchical,x_vs_a_average_precision,0.4975171019174379,0.48437803907822047,0.5128275162568924
Qwen3-8B,hierarchical,pairwise_cited_over_U,0.571056813667064,0.5514287348132281,0.5909592992031094
Qwen3-8B,hierarchical,pairwise_X_over_A,0.4954369469026549,0.47151318215339233,0.5186267053834809
Qwen3-8B,hierarchical,mrr_cited,0.8554827175208581,0.845094956068379,0.865775260350115
Qwen3-8B,hierarchical,ndcg,0.823825340470909,0.8174544962846318,0.8301782576305108
