model,seed,split,method,metric,old,corrected
minilm,13,validation,direct_3way,pairwise_cited_over_U,0.4901368760064413,0.4901368760064413
minilm,13,validation,direct_3way,pairwise_X_over_A,0.5034722222222222,0.49532004830917875
minilm,13,validation,direct_3way,mrr_cited,0.8309178743961353,0.8315217391304348
minilm,13,validation,direct_3way,ndcg,0.7796529373674445,0.7796529373674445
minilm,13,validation,hierarchical_3way,pairwise_cited_over_U,0.48143115942028986,0.48128019323671495
minilm,13,validation,hierarchical_3way,pairwise_X_over_A,0.5149456521739131,0.4797705314009662
minilm,13,validation,hierarchical_3way,mrr_cited,0.8257850241545893,0.8251811594202898
minilm,13,validation,hierarchical_3way,ndcg,0.7791954080594228,0.7791954080594228
minilm,42,validation,direct_3way,pairwise_cited_over_U,0.5194746376811594,0.5229468599033816
minilm,42,validation,direct_3way,pairwise_X_over_A,0.5019625603864735,0.49592391304347827
minilm,42,validation,direct_3way,mrr_cited,0.8432971014492754,0.847524154589372
minilm,42,validation,direct_3way,ndcg,0.7897486082275726,0.7897486082275726
minilm,42,validation,hierarchical_3way,pairwise_cited_over_U,0.49667874396135264,0.49743357487922707
minilm,42,validation,hierarchical_3way,pairwise_X_over_A,0.4756944444444444,0.4759963768115942
minilm,42,validation,hierarchical_3way,mrr_cited,0.8369565217391305,0.8369565217391305
minilm,42,validation,hierarchical_3way,ndcg,0.7783517044288325,0.7783517044288325
minilm,77,validation,direct_3way,pairwise_cited_over_U,0.5109702093397746,0.5115740740740741
minilm,77,validation,direct_3way,pairwise_X_over_A,0.4921497584541063,0.5018115942028986
minilm,77,validation,direct_3way,mrr_cited,0.8405797101449275,0.8420893719806763
minilm,77,validation,direct_3way,ndcg,0.7870545793110328,0.7870545793110328
minilm,77,validation,hierarchical_3way,pairwise_cited_over_U,0.49225040257648955,0.493005233494364
minilm,77,validation,hierarchical_3way,pairwise_X_over_A,0.4856582125603865,0.4830917874396135
minilm,77,validation,hierarchical_3way,mrr_cited,0.8291062801932367,0.8297101449275363
minilm,77,validation,hierarchical_3way,ndcg,0.7788262735171194,0.7788262735171194
deberta,13,validation,direct_3way,pairwise_cited_over_U,0.7049114331723026,0.7050623993558776
deberta,13,validation,direct_3way,pairwise_X_over_A,0.48097826086956524,0.5054347826086957
deberta,13,validation,direct_3way,mrr_cited,0.9202898550724637,0.9193840579710145
deberta,13,validation,direct_3way,ndcg,0.8307913723569437,0.8307913723569437
deberta,13,validation,hierarchical_3way,pairwise_cited_over_U,0.7163848631239935,0.7441123188405797
deberta,13,validation,hierarchical_3way,pairwise_X_over_A,0.4781099033816425,0.517512077294686
deberta,13,validation,hierarchical_3way,mrr_cited,0.9233091787439613,0.9375
deberta,13,validation,hierarchical_3way,ndcg,0.832920163632134,0.832920163632134
deberta,42,validation,direct_3way,pairwise_cited_over_U,0.7167874396135265,0.7190519323671497
deberta,42,validation,direct_3way,pairwise_X_over_A,0.4960748792270531,0.5285326086956522
deberta,42,validation,direct_3way,mrr_cited,0.9236111111111112,0.9263285024154589
deberta,42,validation,direct_3way,ndcg,0.8374593412077382,0.8374593412077382
deberta,42,validation,hierarchical_3way,pairwise_cited_over_U,0.6999295491143317,0.7106481481481481
deberta,42,validation,hierarchical_3way,pairwise_X_over_A,0.478713768115942,0.4738828502415459
deberta,42,validation,hierarchical_3way,mrr_cited,0.918780193236715,0.9266304347826086
deberta,42,validation,hierarchical_3way,ndcg,0.8298525244370216,0.8298525244370216
deberta,77,validation,direct_3way,pairwise_cited_over_U,0.750251610305958,0.7497987117552334
deberta,77,validation,direct_3way,pairwise_X_over_A,0.4935084541062802,0.5230978260869565
deberta,77,validation,direct_3way,mrr_cited,0.9371980676328503,0.936292270531401
deberta,77,validation,direct_3way,ndcg,0.8435481672571431,0.8435481672571431
deberta,77,validation,hierarchical_3way,pairwise_cited_over_U,0.719555152979066,0.717139694041868
deberta,77,validation,hierarchical_3way,pairwise_X_over_A,0.4738828502415459,0.5262681159420289
deberta,77,validation,hierarchical_3way,mrr_cited,0.9296497584541062,0.927536231884058
deberta,77,validation,hierarchical_3way,ndcg,0.8351839268290578,0.8351839268290578
minilm,13,test,direct_3way,pairwise_cited_over_U,0.5005164878823998,0.5005164878823998
minilm,13,test,direct_3way,pairwise_X_over_A,0.47149384187524834,0.48867699642431467
minilm,13,test,direct_3way,mrr_cited,0.8379022646007152,0.8376042908224076
minilm,13,test,direct_3way,ndcg,0.77664075124545,0.77664075124545
minilm,13,test,hierarchical_3way,pairwise_cited_over_U,0.5061680572109655,0.5067640047675804
minilm,13,test,hierarchical_3way,pairwise_X_over_A,0.49334525228446563,0.492103694874851
minilm,13,test,hierarchical_3way,mrr_cited,0.8367103694874851,0.8370083432657927
minilm,13,test,hierarchical_3way,ndcg,0.7837345658326483,0.7837345658326483
minilm,42,test,direct_3way,pairwise_cited_over_U,0.5038041319030592,0.5051152165276122
minilm,42,test,direct_3way,pairwise_X_over_A,0.47283472387763215,0.4798867699642431
minilm,42,test,direct_3way,mrr_cited,0.833134684147795,0.833134684147795
minilm,42,test,direct_3way,ndcg,0.7813824554292119,0.7813824554292119
minilm,42,test,hierarchical_3way,pairwise_cited_over_U,0.4880214541120381,0.49030591974572907
minilm,42,test,hierarchical_3way,pairwise_X_over_A,0.490663488279698,0.5033770361541519
minilm,42,test,hierarchical_3way,mrr_cited,0.831942789034565,0.8328367103694875
minilm,42,test,hierarchical_3way,ndcg,0.778842074895997,0.778842074895997
minilm,77,test,direct_3way,pairwise_cited_over_U,0.4997914183551848,0.5009833134684148
minilm,77,test,direct_3way,pairwise_X_over_A,0.49955303933253875,0.507300357568534
minilm,77,test,direct_3way,mrr_cited,0.8346245530393326,0.8367103694874851
minilm,77,test,direct_3way,ndcg,0.7856440490627877,0.7856440490627877
minilm,77,test,hierarchical_3way,pairwise_cited_over_U,0.49973182359952323,0.4985399284862932
minilm,77,test,hierarchical_3way,pairwise_X_over_A,0.5033770361541517,0.5016885180770759
minilm,77,test,hierarchical_3way,mrr_cited,0.8310488676996425,0.8304529201430274
minilm,77,test,hierarchical_3way,ndcg,0.7814289598474644,0.7814289598474644
deberta,13,test,direct_3way,pairwise_cited_over_U,0.7278605482717521,0.7344159713945172
deberta,13,test,direct_3way,pairwise_X_over_A,0.48678982916170044,0.5188716726261422
deberta,13,test,direct_3way,mrr_cited,0.9275923718712753,0.9314660309892729
deberta,13,test,direct_3way,ndcg,0.8365969050382611,0.8365969050382611
deberta,13,test,hierarchical_3way,pairwise_cited_over_U,0.7559892729439809,0.7613528009535161
deberta,13,test,hierarchical_3way,pairwise_X_over_A,0.48395907826777906,0.4793404847040127
deberta,13,test,hierarchical_3way,mrr_cited,0.933253873659118,0.9344457687723481
deberta,13,test,hierarchical_3way,ndcg,0.8428345072739867,0.8428345072739867
deberta,42,test,direct_3way,pairwise_cited_over_U,0.7294696066746126,0.7339392133492253
deberta,42,test,direct_3way,pairwise_X_over_A,0.48733611442193087,0.508839888756456
deberta,42,test,direct_3way,mrr_cited,0.9216328963051251,0.9252085816448152
deberta,42,test,direct_3way,ndcg,0.8365769362390401,0.8365769362390401
deberta,42,test,hierarchical_3way,pairwise_cited_over_U,0.725,0.7486889153754469
deberta,42,test,hierarchical_3way,pairwise_X_over_A,0.4898688915375447,0.5178784266984505
deberta,42,test,hierarchical_3way,mrr_cited,0.9231227651966627,0.9389153754469607
deberta,42,test,hierarchical_3way,ndcg,0.8366238371142155,0.8366238371142155
deberta,77,test,direct_3way,pairwise_cited_over_U,0.7720798569725864,0.7738676996424314
deberta,77,test,direct_3way,pairwise_X_over_A,0.48202224870878024,0.5220500595947557
deberta,77,test,direct_3way,mrr_cited,0.9371275327771156,0.9392133492252682
deberta,77,test,direct_3way,ndcg,0.8446953148860756,0.8446953148860756
deberta,77,test,hierarchical_3way,pairwise_cited_over_U,0.7342371871275327,0.7396007151370679
deberta,77,test,hierarchical_3way,pairwise_X_over_A,0.5027314263011522,0.5035260230433055
deberta,77,test,hierarchical_3way,mrr_cited,0.9246126340882003,0.9281883194278904
deberta,77,test,hierarchical_3way,ndcg,0.8407037841432305,0.8407037841432305
