model,method,metric,estimate,ci_lower,ci_upper
minilm,direct,accuracy,0.3190368698269376,0.30709453586557217,0.3312030375346595
minilm,direct,macro_f1,0.3098569677066781,0.29769493045509987,0.32241148850924
minilm,direct,f1_A,0.24635669673837612,0.22614720297019703,0.26758377078303003
minilm,direct,f1_X,0.30008673026886384,0.28121606733958626,0.31900199653970973
minilm,direct,f1_U,0.38312747611279424,0.365938651322598,0.39852096550969773
minilm,direct,cited_vs_u_roc_auc,0.49848179165621004,0.4816223913343291,0.5159833186119249
minilm,direct,cited_vs_u_average_precision,0.6882730297766522,0.6756563461455933,0.7025762786093362
minilm,direct,x_vs_a_roc_auc,0.4793592871269893,0.4601800410124082,0.49769512352163453
minilm,direct,x_vs_a_average_precision,0.49134052776280657,0.4766585565535585,0.5081011818938108
minilm,direct,pairwise_cited_over_U,0.4999503377036154,0.4800769264391248,0.5201689365943114
minilm,direct,pairwise_X_over_A,0.4781987463126844,0.4550135969764012,0.5014299870943952
minilm,direct,mrr_cited,0.83373063170441,0.8222738953288513,0.8452825357461733
minilm,direct,ndcg,0.8064331624572365,0.7997266673580864,0.8130657910272138
minilm,hierarchical,accuracy,0.31621519939804366,0.30499242321886455,0.32738016993153396
minilm,hierarchical,macro_f1,0.28717666535444464,0.27540972655854273,0.29850177394382715
minilm,hierarchical,f1_A,0.2447286553750432,0.22447499763831594,0.2656197987794469
minilm,hierarchical,f1_X,0.20237638942123418,0.18153435215110933,0.22323310404274022
minilm,hierarchical,f1_U,0.41442495126705653,0.40124875235766455,0.4274307364148252
minilm,hierarchical,cited_vs_u_roc_auc,0.48577850932515404,0.4685241070810392,0.5025743248932418
minilm,hierarchical,cited_vs_u_average_precision,0.6720927794814415,0.6596167057221458,0.6854454525139565
minilm,hierarchical,x_vs_a_roc_auc,0.4987720445654434,0.480089879058097,0.5167857420464158
minilm,hierarchical,x_vs_a_average_precision,0.5026294969195839,0.48694678626539045,0.5200507922870206
minilm,hierarchical,pairwise_cited_over_U,0.49669249106078667,0.4765316382965345,0.5167999376934145
minilm,hierarchical,pairwise_X_over_A,0.5102323008849557,0.48653438421828915,0.5331858407079646
minilm,hierarchical,mrr_cited,0.8286650774731824,0.8172155506866139,0.8404636328157757
minilm,hierarchical,ndcg,0.8074702944264904,0.8008102584679816,0.8142529564550035
deberta,direct,accuracy,0.4582392776523702,0.4451718965976964,0.4704341839694517
deberta,direct,macro_f1,0.4576219760993405,0.4444156910696813,0.4700164654616947
deberta,direct,f1_A,0.3699781999377141,0.3500930935709739,0.3895232573889325
deberta,direct,f1_X,0.43739065233691576,0.4199209879127204,0.4549108910235778
deberta,direct,f1_U,0.5654970760233918,0.5463265526159679,0.5842643894930146
deberta,direct,cited_vs_u_roc_auc,0.7617215578377097,0.7481089481553671,0.7755722117958047
deberta,direct,cited_vs_u_average_precision,0.86225527148836,0.8519635026740341,0.872162026081771
deberta,direct,x_vs_a_roc_auc,0.5221343273838595,0.5057288634458428,0.5383680068375711
deberta,direct,x_vs_a_average_precision,0.5263619679505288,0.5119523700139705,0.5432536550265396
deberta,direct,pairwise_cited_over_U,0.7634386174016686,0.7464533671036948,0.7800206438538777
deberta,direct,pairwise_X_over_A,0.522584808259587,0.49884540929203536,0.5458632927728613
deberta,direct,mrr_cited,0.9392133492252682,0.9309208077332999,0.9472263996859953
deberta,direct,ndcg,0.8744814973958629,0.8686723855540417,0.8802752333274185
deberta,hierarchical,accuracy,0.44676448457486834,0.4340459321127819,0.4589473153222038
deberta,hierarchical,macro_f1,0.4387332848920411,0.42578301506999955,0.45111968472607017
deberta,hierarchical,f1_A,0.29983079526226736,0.27873449949622714,0.3202186196927485
deberta,hierarchical,f1_X,0.4488321695160125,0.43324388496333016,0.4647165532984795
deberta,hierarchical,f1_U,0.5675368898978433,0.5486670338264843,0.5853794682233076
deberta,hierarchical,cited_vs_u_roc_auc,0.7615359589972357,0.7477005626630383,0.7746936257126852
deberta,hierarchical,cited_vs_u_average_precision,0.8667702452294324,0.8576069456303835,0.8757983842868742
deberta,hierarchical,x_vs_a_roc_auc,0.5127900187140045,0.49567014464625536,0.5302044185224014
deberta,hierarchical,x_vs_a_average_precision,0.5215547031982183,0.5064859905613088,0.5393844479345381
deberta,hierarchical,pairwise_cited_over_U,0.759564958283671,0.7420579609332323,0.7767490995436043
deberta,hierarchical,pairwise_X_over_A,0.5080199115044248,0.48575659107669616,0.5312972437315635
deberta,hierarchical,mrr_cited,0.9347437425506555,0.9266979504036861,0.9427218430879601
deberta,hierarchical,ndcg,0.8753104770270226,0.869536374617382,0.8811253671294951
