system,temporal_bin,metric,estimate,ci_lower,ci_upper
minilm_direct,early,accuracy,0.3186558516801854,0.2973279028157077,0.33877587778926543
minilm_direct,early,macro_f1,0.30781392592037793,0.286547538577561,0.3277115341102572
minilm_direct,early,cited_vs_u_roc_auc,0.5037750249337128,0.47652936859594563,0.5330055000139963
minilm_direct,early,x_vs_a_roc_auc,0.4767086674303169,0.4435588314608253,0.5070876272287667
minilm_direct,early,pairwise_cited_over_U,0.5174589201877935,0.48503154342723004,0.5514084507042253
minilm_direct,early,pairwise_X_over_A,0.4693368544600939,0.428693515258216,0.5067524941314554
minilm_direct,middle,accuracy,0.31273408239700373,0.2902621722846442,0.3352059925093633
minilm_direct,middle,macro_f1,0.30263249227352024,0.27985622176605807,0.3256364471458151
minilm_direct,middle,cited_vs_u_roc_auc,0.47564315672824703,0.44496836819144614,0.5056210460239308
minilm_direct,middle,x_vs_a_roc_auc,0.47813477535103593,0.4437781424904263,0.5120502461810378
minilm_direct,middle,pairwise_cited_over_U,0.47752808988764045,0.4419475655430712,0.5121722846441947
minilm_direct,middle,pairwise_X_over_A,0.45318352059925093,0.41198501872659177,0.49625468164794007
minilm_direct,late,accuracy,0.3269675925925926,0.30671296296296297,0.34780092592592593
minilm_direct,late,macro_f1,0.3131891132554189,0.29292599810387565,0.333845021049277
minilm_direct,late,cited_vs_u_roc_auc,0.5100459346064815,0.4801820354697145,0.5400761357060184
minilm_direct,late,x_vs_a_roc_auc,0.4524860146604939,0.4198007089120371,0.48661167474440586
minilm_direct,late,pairwise_cited_over_U,0.5034722222222222,0.4678819444444444,0.5364583333333334
minilm_direct,late,pairwise_X_over_A,0.4809027777777778,0.4409288194444445,0.5208333333333334
minilm_hierarchical,early,accuracy,0.32966396292004635,0.3103031282645331,0.3493742555478965
minilm_hierarchical,early,macro_f1,0.2986413928647109,0.277765711231891,0.31926653347633294
minilm_hierarchical,early,cited_vs_u_roc_auc,0.5219097399596195,0.4937101396751944,0.5512953315982345
minilm_hierarchical,early,x_vs_a_roc_auc,0.5141096315387552,0.4805256864389916,0.5472902143942788
minilm_hierarchical,early,pairwise_cited_over_U,0.5324823943661973,0.49876320422535214,0.5664656690140845
minilm_hierarchical,early,pairwise_X_over_A,0.5290492957746479,0.4891431924882629,0.5698430164319248
minilm_hierarchical,middle,accuracy,0.30274656679151063,0.2833957553058677,0.3227215980024969
minilm_hierarchical,middle,macro_f1,0.26984534739893135,0.2491623003769557,0.290900822068195
minilm_hierarchical,middle,cited_vs_u_roc_auc,0.455885550365414,0.4249866739609196,0.4864471114056867
minilm_hierarchical,middle,x_vs_a_roc_auc,0.48499417862503336,0.45143763413710386,0.5173573412447923
minilm_hierarchical,middle,pairwise_cited_over_U,0.4691011235955056,0.4344569288389513,0.5028089887640449
minilm_hierarchical,middle,pairwise_X_over_A,0.4681647940074906,0.42696629213483145,0.5093632958801498
minilm_hierarchical,late,accuracy,0.33449074074074076,0.3148003472222223,0.35300925925925924
