query_hash,target_date,days_since_train_end,temporal_bin,rows
55fcb9ac4defca9823a1b4d36b5d797f4fcc9d4e14e078f7aa1e7fb8d17ba016,2017-10-04 00:00:00+00:00,378,middle,3
e4030eaf40ada63091d107d9b9dbe8418f18a9a3ff73cb6f8d6d590fcf14b654,2018-01-03 00:00:00+00:00,469,late,3
974f1c0e3cf1be8431b797655a2a1feca02aab052646b061471f28e6e0ce3426,2017-07-05 00:00:00+00:00,287,early,3
0e9f47cf6d273c631f2cde30454fa0272d351e12ec7b0296815c5935d3b06307,2017-08-16 00:00:00+00:00,329,middle,3
6c5136fbb9f931771addbde1c7f2172c6366f70d72b162063de44988d7d5679e,2017-09-20 00:00:00+00:00,364,middle,3
7b80eec5884ed00156331a6034370fdf58b5024ce94e9ec77ee9fbeae1c1ee05,2017-05-24 00:00:00+00:00,245,early,3
b47cd89f3e6daec42c76c1f7282bc5b2c92d0210984ba2941280d5e987f70ebd,2017-06-14 00:00:00+00:00,266,early,3
65bd0f777bec962e8234f47ffab81f1ee35f6bcad732c2d5d3355e4ab107f550,2017-11-29 00:00:00+00:00,434,late,3
82fabccfd1413d6f7e3b759f4ac7458683e668ad7b5ad1b1d1fe419660464bb7,2017-11-01 00:00:00+00:00,406,late,3
a204943b0df12754c37ddf87becff56cbda1f9d6e9533db4a4cd6b93d8ac14e1,2018-01-10 00:00:00+00:00,476,late,3
aaa4832d55b190cb73a5c394c7f6b0194f5155b8ca1c146e47576e3c9e83cf64,2017-06-28 00:00:00+00:00,280,early,3
a29d92ed81e21a8aa53f44aca202b93ef2913d21f9250c48769cb1a249ad057a,2017-06-28 00:00:00+00:00,280,early,3
603c1c89c1f0fa5d9e52c3bb3c82f05716d26cc7bd9b319670390c0d79eae238,2017-11-01 00:00:00+00:00,406,late,3
920c04589cf4abae21e90313f28bca748394fd1ed32517bb28f8307517690516,2017-07-26 00:00:00+00:00,308,middle,3
8cddcac61276fdef30553598fbeb361ecac4e463a6e222d911464da79c81d699,2017-11-01 00:00:00+00:00,406,late,3
e150787e198758b3f665a59cda68e6346c469a9f21bccc40778fedfff89d8999,2017-06-21 00:00:00+00:00,273,early,3
b5f0e2f325a49ebf039ab094b7cc43dc32fcab7ecf84cfb35caa0ea4abda425c,2017-09-20 00:00:00+00:00,364,middle,3
bc2c9d3e1ee0dd66a1b9aabce4bf97112edace0d51f5bef21ce22b0b5a663c0f,2017-06-21 00:00:00+00:00,273,early,3
bf59ecbf36027d57cac4e8e119aa79e3d3b07838b02e773518a08861808a1009,2017-05-24 00:00:00+00:00,245,early,3
eb94f219dc874dd2c28c2bdf83526356b882366f006d79a1e0219369551d5eea,2017-07-05 00:00:00+00:00,287,early,3
15fcfacb79dc45161c914571fca22176bf765dccb357498d52944e8f5cbfc103,2017-07-26 00:00:00+00:00,308,middle,3
99981b153a5e307cf6297eac6ae1489dd6e86dd708d3829ea70c6a0896086c55,2017-08-16 00:00:00+00:00,329,middle,3
a750f4cb9f54a5ada228823b2f4d2f2ee97f6fe6735c3f3271d0f06b10ed8463,2017-06-21 00:00:00+00:00,273,early,3
f83d81adcd6975511a15f82e494f5c3701fb34e1b85e7b4369e281dbfe7c5ccc,2017-11-22 00:00:00+00:00,427,late,3
a59575dd6b6bbec7f03ea48c7e989aeb4a6ab8dc4bd77568ad7e1a9b69a6dd13,2017-07-05 00:00:00+00:00,287,early,3
51a608dcddfde20b6b9982a6cc84fc385b1a8270bba396d2613ab5f4117090f4,2017-10-04 00:00:00+00:00,378,middle,3
875d30bb3cb06ad5826854ae044a67d2c76d557c91ff3a2a1c40ef494f0b1c20,2017-07-26 00:00:00+00:00,308,middle,3
4bd62c1f19bb7bf04e1dd3597264ec76f0d52ef7c8ea751c1c7d6dc928dc6b2e,2017-08-09 00:00:00+00:00,322,middle,3
7c432f082e61f330e1c869c623e1c0202380619cfd164350db62b84c26ed9124,2017-07-05 00:00:00+00:00,287,early,3
e568b3cd6ff23ce213536a4f46513fcebe1413b10a9daaca27c15f8d38afa592,2017-10-11 00:00:00+00:00,385,late,3
6b308d4678cdb892c7c2989425973f12002ae64f2ab7ced6505742e4579d62d2,2017-06-28 00:00:00+00:00,280,early,3
49f8ec386baa99c6186c54b80a57348aa7b22008e28878b37559e5209acee922,2017-08-16 00:00:00+00:00,329,middle,3
cb0a8224048aabef30ae1664d264ed5e66d04ed169d6322f85bf3cb60989860e,2017-09-06 00:00:00+00:00,350,middle,3
5af9ebb538a75f7df344f9d10f2d2e64d7b692f8d75eb5cbcaae9a77e85392cb,2017-09-13 00:00:00+00:00,357,middle,3
6f391fb8f4ccbfbcc1de298a45a5b3f9324ba694185dc13cefef92be04e78b30,2017-05-31 00:00:00+00:00,252,early,3
eda43374d719c00a879704a3b6ea036f564bded522f9fa63d31cdeb8a01e3035,2017-08-09 00:00:00+00:00,322,middle,3
18215394670579579a94ebed9bfe418ddcb48f3c493e47c8c630e1f45ae6bf7b,2017-07-05 00:00:00+00:00,287,early,3
f90b3afa3e2b05298a6b86c544fac417fef068c4eb0e72fe6cb8f065dbf6eb95,2017-05-17 00:00:00+00:00,238,early,3
dc0a37f500ed1d6e7ff2ca2abf6e0aab0eb549fca02aa3f4fc95ee3a6294fc61,2017-08-16 00:00:00+00:00,329,middle,3
30013f8dce9ef597d37e357db6bf2cc47aae16db87dcc00c2e29a74a718b0b0b,2017-09-06 00:00:00+00:00,350,middle,3
be247a82b22aa73d380d01ef2a2901da75857aba1933d8e50aa685762f068b79,2017-07-19 00:00:00+00:00,301,middle,3
71b1d87195ce1cbf020371bf087d64b9ce6e19c83fca452aad526f27a98ddd7a,2017-05-31 00:00:00+00:00,252,early,3
3fc09d503436d37ff8fcc2c840704d4e2e30a1e6e604c896f0dee056d103d408,2017-05-17 00:00:00+00:00,238,early,3
f456b23f90e84b8770a17d8ce105829273c344829478b2f6857cea43b8b7b0bc,2017-07-05 00:00:00+00:00,287,early,3
